fileid,caida,bump,bump_visibility,buen_ajuste
1020772,3,4,1,si
1049177,1,2,1,si
1049654,3,2,1,no
1075091,3,3,2,si
1093872,1,3,2,si
1112098,4,4,2,si
1112544,4,4,1,si
1128913,3,2,1,no
1131771,3,3,2,si
1134152,2,2,2,si
1134217,1,2,1,si
1134475,1,2,1,si
1134876,3,3,1,si
1169900,3,2,1,si
1170745,2,2,1,si
1177,4,4,3,no
1184814,3,2,1,si
1194133,4,4,1,si
1204854,2,2,2,si
1214612,3,4,1,si
1223454,4,2,2,si
1231,3,3,2,si
1251820,4,2,1,si
1259089,2,4,1,si
1259515,3,2,1,si
1260121,2,2,1,si
126212,1,4,2,no
1278511,1,2,1,no
128381,3,2,1,si
130261,3,2,1,si
1320063,3,3,1,si
1329308,1,2,1,si
1329803,2,2,2,si
1329873,3,4,1,no
1359873,1,2,1,si
1372439,3,4,1,si
1378891,4,4,1,si
1379191,4,4,1,si
1379193,3,2,1,si
1379831,3,2,1,no
1388055,3,3,2,no
1401958,1,2,1,si
14046,1,2,1,si
1422907,3,2,1,si
1428275,1,2,1,si
1443639,2,2,1,si
1450553,1,2,1,si
1469511,3,4,1,si
1492696,2,4,1,no
1498103,4,4,1,si
1498184,3,4,1,si
1500446,2,3,3,si
1510105,2,3,2,si
1518688,2,3,3,si
1536789,3,2,1,si
155911,1,2,1,si
1559205,2,4,1,si
1588593,4,3,3,si
1612332,3,2,1,si
1688122,2,2,1,si
1700316,3,2,1,si
1716722,2,2,2,si
1717520,2,4,1,si
1717596,4,2,1,si
1717597,2,2,1,si
1717704,1,2,1,si
1717866,2,4,1,si
1718747,3,4,1,si
1725527,2,2,1,si
1727897,3,2,1,si
1750650,1,4,1,si
1789155,1,3,2,si
1790794,3,2,1,si
1801564,3,2,1,si
1829108,3,2,1,si
1834623,1,2,1,si
1880969,2,4,1,si
1882022,3,3,2,no
1903267,1,4,1,si
190650,3,4,2,si
1923476,4,2,2,si
1978943,1,2,1,no
1996933,4,3,2,si
2017290,3,2,1,si
2045254,2,2,1,si
2112247,2,2,2,si
2140256,2,2,1,si
2146261,4,3,2,si
2146291,4,4,2,si
2146683,4,4,1,si
2149629,2,3,1,si
2159117,4,4,2,si
2163357,4,4,1,si
2163775,4,2,1,si
2184662,3,3,2,si
2184783,3,4,2,si
2210159,2,3,3,si
2210304,3,2,2,si
2271656,4,4,1,no
2272171,3,2,1,no
2276216,4,3,2,si
22863,1,2,1,si
2295471,1,2,1,si
2321371,4,4,3,si
2358986,3,2,2,si
2372169,3,2,2,si
2393890,4,4,1,si
2397767,1,2,2,si
2410712,4,2,2,si
2410860,2,2,1,si
2417868,2,2,1,no
2418431,2,2,1,no
2419841,4,4,3,si
2422926,2,4,2,si
2446438,3,2,2,si
2455657,2,2,1,si
2455705,2,2,1,si
2456014,4,4,3,no
2465045,2,2,1,si
2523792,1,2,1,si
2533710,1,4,2,si
2547352,4,4,1,si
2547518,1,2,3,si
2548142,3,3,2,si
2549059,4,3,2,si
2557438,3,2,1,no
2595703,3,2,1,no
2595895,3,3,2,si
2596346,2,2,1,no
2596376,1,3,1,si
2596430,3,2,1,si
2596486,3,3,1,si
2596570,3,2,1,si
2596671,3,2,1,no
2596724,1,2,1,si
2596743,1,2,1,no
2597267,1,2,1,si
2597381,1,2,1,no
2599036,3,2,1,si
2633012,1,2,1,si
2638097,1,2,1,si
2666875,1,2,3,si
2666920,1,2,1,si
27145,3,3,3,si
275688,1,2,1,si
29294,2,4,1,si
319433,2,2,1,si
408769,4,4,2,si
41933,3,2,1,si
422878,1,3,2,si
433536,3,3,1,no
4691,3,3,1,si
496732,3,3,2,si
549189,2,4,2,si
557797,4,4,1,si
57591,1,4,3,si
579778,2,3,2,si
604020,3,2,1,si
60415,4,4,1,si
639077,2,3,2,si
657672,1,2,1,si
662052,3,3,3,si
662427,3,3,3,si
697359,3,4,2,si
699970,2,4,1,si
700003,1,4,1,si
7003,4,2,3,si
700464,3,4,1,si
701086,2,4,2,si
701385,2,3,2,si
701408,3,4,1,si
726763,3,3,3,si
742171,3,2,2,si
744510,3,3,2,si
767213,4,3,3,si
786926,2,4,1,si
787365,2,3,2,si
787526,2,2,1,si
787619,1,2,1,si
789100,1,2,1,si
790357,1,3,1,si
804897,3,4,1,si
808036,3,2,1,si
808156,3,2,1,si
810174,2,2,1,si
810296,2,3,1,si
821875,3,4,1,si
843790,4,4,2,si
855010,1,3,1,si
884171,3,4,1,si
885304,3,4,3,si
900839,3,2,1,no
901563,3,4,1,si
903985,3,4,1,si
92229,3,3,1,si
924137,1,3,2,si
924975,2,2,1,si
925464,3,3,1,si
931468,3,4,1,si
972778,3,3,2,si
994747,4,4,1,si
